airline_sentiment,airline_sentiment_confidence,airline,text,id,label
neutral,0.6329,US Airways,"[""usairways i forgot my countersign and i don ' deoxythymidine monophosphate eff if my username be correct, and i want to practice my miles, what i have to do??""]",16787,1
positive,0.6749,United,united thank you.,2644,2
negative,1.0,Southwest,southwestair are ur flight still cancelled flight from nashville tn today and tomorrow to dallas tx? i been waiting on phone to ur office for 40 min.,5192,0
neutral,1.0,US Airways,usairways americanair are u paying incedentals? noworstairline,10705,1
negative,1.0,US Airways,usairways i don't like being lied to. no bad weather in dc md va. i've been stuck in ca all day and should've been home by now. you owe me.,9133,0
negative,1.0,US Airways,usairways offering to give up my bag which you usually have to force passengers to do. i am in a state of shock.,9330,0
positive,1.0,Southwest,['thanks southwestair! heartlanta'],26200,2
neutral,1.0,American,americanair i need to be back in cleveland as early as possible tomorrow,13303,1
positive,1.0,US Airways,['usairways - check - in faculty at phx are awesome! great traffic restraint for general boarding.'],27080,2
positive,0.6334,Southwest,"['southwestair thanks for the speedy answer! one travel a lot. .. just not that much, lol.']",21283,2
positive,1.0,US Airways,['usairways will do. i apprize the reaction.'],27178,2
negative,1.0,American,americanair yes i did but no response.,12738,0
negative,1.0,United,united still no refund or word via dm. please resolve this issue as your cancelled flightled flight was useless to my assistant's trip.,505,0
neutral,0.6464,United,"['joined no, i act not. i be only commit a flight of stairs booking problems reference number.']",18454,1
negative,1.0,United,united making sure your flights aren't delayed due to poor maintenance would be a start.,1286,0
positive,1.0,Delta,['jetblue helium just went above and beyond to be helpful'],24295,2
positive,0.6667,Southwest,['southwestair pit - logic gate a1! big cry prohibited to the dame try to track him down!'],23952,2
positive,1.0,American,"['americanair greatest newark gate agents ever so david deane, norma sedholm and luz calderon just give me experience corresponding a king. americanairlines']",22866,2
neutral,0.6771,US Airways,['usairways amp americanair what be your weight limitation for carry on luggage? can find measurements simply not weight restrictions. transient ischemic attack'],16881,1
negative,1.0,United,united why do i have to give up my leg room so these 4 people not in my row can fill the bin? pls start charging.,1530,0
neutral,0.703,United,['united airway trouble this winter a non getting right customer service? contact we negotiate resolutions for you!'],17812,1
positive,1.0,United,"['joined ok, have sent u information via dm. i appreciate your help and consideration.']",20936,2
negative,1.0,Delta,jetblue u guys have 2b kidding. no help anywhere. 5 hour delays? still no answers. bad cust service. idlovetoask,7538,0
positive,0.3474,Delta,"['jetblue what be the chance of really flying out of capital of west virginia today? ? cold, rainy weather in the south of all places. ..']",24094,2
negative,1.0,United,united united flight ua3774 after two delays just cancelled flightled no explanation amp no more flights to norfolk that aren't booked. renting a car.,1742,0
neutral,0.6397,Southwest,['southwestair theacademy company in hotlanta'],18663,1
positive,1.0,Virgin America,"['virginamerica freddieawards done and do! best air hose around, hands down!']",25224,2
positive,0.6737,Delta,['jetblue thanks'],22124,2
positive,1.0,US Airways,['usairways kudos to robin at phxskyharbor lost institute for reunite pine tree state w my ipad. she was delightful to work with!'],22416,2
negative,1.0,United,united it would be great to get a callback from the agent that disconnected me trying to put me on hold after waiting to connectfor 60 min,2113,0
neutral,0.6329,US Airways,"[""usairways i forgot my password and i father ' t know if my username exist correct, and i want to use my sea mile, what i consume to do??""]",19874,1
positive,0.6742,Delta,"['jetblue 162, smf to kennedy!']",22011,2
positive,1.0,American,['americanair thanks!!'],27255,2
negative,0.664,US Airways,"usairways forget reservations. thank you to the great leadership at your company, i've cancelled flighted my flight. once again, thank you.",9004,0
positive,0.7139,Delta,['jetblue flyfi thank you! seattle and udub here we add up! cameron__roe'],22209,2
neutral,1.0,Delta,['jetblue do you have direct flights to and from bos to st lucia surgery antigua?'],19565,1
negative,1.0,US Airways,"usairways they charged me for a flight they cancelled flightled, unbelievable and unheard of",11799,0
neutral,1.0,Southwest,southwestair imaginedragons destinationdragons scavenger hunt rules,5419,1
neutral,1.0,United,"[""joined atomic number 53 ' mebibyte in another country - please cancelled flying my reservation. i ' ve booked through swiss air""]",18197,1
neutral,1.0,American,['. americanair just disappointed with the flight booking problems operation and add cubic decimetre fees to sit down together on a to a greater extent crowded trajectory. non instill so far -.'],17166,1
neutral,1.0,Virgin America,"virginamerica has getaway deals through may, from 59 one-way. lots of cool cities cheapflights farecompare",110,1
neutral,0.6858,Virgin America,"['virginamerica ladygaga carrieunderwood all equal peachy, but i ingest to go with carrieunderwood']",14551,1
neutral,0.6856,United,['united i need a partitioning of what the international surcharge on my flight screen. delight supporter'],15125,1
negative,0.6301,American,"americanair no, when i call aa now i can't even get on hold...can you help me?",13655,0
neutral,1.0,Delta,"[""rt jetblue our fleet ' s on fleek.""]",16098,1
negative,1.0,US Airways,usairways making folks run from gate c29 to a18 to b11 with no explanation and zero carts to transfer elderly and handicap. phl,9662,0
neutral,1.0,United,"['joined 877 from amsterdam to ewr, 02. twenty seven. 2015, 737 - 300.']",18438,1
positive,0.6421,Southwest,['southwestair i hope i canful be apart of the team with this book of job scuttle!'],23724,2
negative,1.0,US Airways,"usairways that link is broken. but if it's the online baggage locator, i already tried it and it gave me no useful information.",11435,0
neutral,0.6806,United,"[""joined that ' s what i thought! thanks for the elucidation!""]",15387,1
neutral,0.6773,Delta,"[""jetblue it ' s for me, i speak with a rep on the headphone who suggested i voice a concern via email usa on your web site. i did a few moments ago""]",16728,1
negative,1.0,US Airways,usairways how does that help me when i get no response from there??? usairwayssucks,11366,0
neutral,0.6632,Southwest,['southwestair ceo using vega band to help associate to people. air business organisation marketing consumermarketing'],15598,1
neutral,0.615,Virgin America,['virginamerica lax to ewr - middle seat on a red eye. such a noob manoeuvre. sendambien andchexmix'],14534,1
positive,0.6895,Southwest,['southwestair got it square away. thank you. i deliver a man on the inside avail me knocked out!'],21733,2
negative,1.0,American,americanair you are beyond redemption. jfk. baggage claim looks like a luggage warehouse,12530,0
neutral,0.6599,United,['united baftz rcvd promo if i booked flight of stairs silver condition would equal extended it was not dont have flier that was sent didnt think id need'],14872,1
positive,0.6575,Virgin America,"[""virginamerica, the only airline business based in silicon vale! disruption fcmostinnovative incubator fastcompany ' sulphur""]",25273,2
positive,0.6633,Delta,jetblue boarding the back of the airplane first. like a boss. sosmart jetblue frequentflyerappreciates alsoyayforsnacks,6827,2
neutral,0.6385,Southwest,['southwestair wish you allowed to admission you web site for award trail.'],15575,1
positive,0.6718,Southwest,"southwestair what can we do to bring you back to jackson, ms?! we miss you terribly around here. these other airlines are horrible!!",4607,2
neutral,0.6503,American,['americanair a dependable americanview. .. the internal mall'],17528,1
positive,1.0,United,united good fly!! united businessfirst,2990,2
positive,1.0,Delta,['jetblue single will! give thanks you!'],26817,2
neutral,0.6408,US Airways,usairways how do you have only 1 flight into lexington this afternoon with the 1 kentuckymbb playing a big game tonight? dobetter,10542,1
negative,0.6691,United,united that's why i missed my flight. if the flight had been held for 5 minutes i would have made it. i watched it pull away from the gate,1382,0
negative,1.0,United,"united ok so what is being done about my experience? my family had a terrible experience for 1,200. it's kind of like being robbed.explain",2356,0
positive,1.0,Delta,['jetblue thank you!!'],24189,2
neutral,0.6781,United,"united koa-lax should have fresh food service, right?",3524,1
neutral,0.6559,United,united follow back and i'll give you the details.,1183,1
negative,1.0,American,"americanair i have been trying to speak with an agent the whole day about my cancelled flightled flight, what i can do?",13791,0
positive,1.0,United,['joined kind of cool to lead into your boss man at sfo.'],25712,2
negative,1.0,Southwest,southwestair flight to phl from fll cancelled flighted 2 21 no flight available until 2 24 done with sw.,5217,0
neutral,0.7152,American,americanair so whats the hold up on flight 4302?,12908,1
positive,0.6349,United,"[""joined great! i ' m ready to sound plate.""]",23113,2
positive,1.0,Southwest,['thanks southwestair! heartlanta'],21546,2
neutral,0.7194,Delta,jetblue our fleet's on fleek. is fleek dead yet now?,7136,1
negative,1.0,Southwest,"southwestair , please explain to me why every other flight to dallas is going out today except the 6 35 pm?????",4647,0
negative,0.7128,Southwest,"southwestair after flying delta this week, gogo was so good. the tweet i sent you didn't even send until we landed - that's how bad it was",5699,0
neutral,1.0,US Airways,"[""usairways i ' chiliad shut my information off for the flight. unity want some response by the clip one dry land. you have 2 hours.""]",16851,1
positive,0.6781,Southwest,['southwestair sent. thanks vp!'],24054,2
positive,1.0,United,"['united just touched down in miami - not too far forth, nicely done joined']",20861,2
negative,1.0,United,united fyi continuous texts and emails i am getting about the delay while held captive on the tarmac are not that helpful.,4075,0
negative,1.0,Delta,"jetblue all correct for rates boston to pittsburgh wknd march 14? rates all of a sudden took off! made plans, came back to buy amp surprised.",7184,0
negative,1.0,US Airways,usairways you airline is doing rather poor right now. in slc waiting to take off. was suppose to take off now 2 hours and 3 minutes ago!,10311,0
positive,1.0,Delta,['jetblue thanks for bringing my son home to me.'],24282,2
negative,0.3446,US Airways,usairways i'll sincerely regret dividend miles! good things coming to an end,11135,0
neutral,1.0,United,['united deep nervure thrombosis'],14755,1
negative,1.0,United,united gates were definitely not full. we were parked and wheels were chocked. customer service called it an unmet arrival !!,3041,0
neutral,0.6612,United,['united i would love if individual could catch me back to austin tonight and i do non wish to wait til tomorrow morning.'],14789,1
negative,1.0,US Airways,usairways my bags were supposed to be delivered to nyc last night missing since thurs but are not here. can someone call me?,10187,0
negative,1.0,United,"united yes i have and i was calling in regards to speaking to someone about it even further, but unfortunately i was just bounced around.",1432,0
negative,1.0,US Airways,usairways americanair so does that mean americanair that you might care about my sister be assaulted on one of your flights,9753,0
negative,1.0,United,united and pick it up and just bring it on the shuttle. when i went to double check on that they said it was still on the concourse,1569,0
negative,0.6391,US Airways,usairways we have submitted the customer relations form and await your response!,9485,0
positive,1.0,Delta,['jetblue you guys rock!'],21902,2
negative,1.0,United,united our flight was originally supposed to leave at 1 40pm amp now we won't leave until 5. this is the 2nd time this has happened,4188,0
neutral,1.0,Delta,"[""jetblue our fleet ' south on fleek.""]",16086,1
neutral,1.0,United,['united the opal dragon playscript the tartar ali birth woven his murdering ways from the philippines to australia'],15001,1
positive,0.6571,Delta,['jetblue finleybklyncfs then glad to get wind. thanks for sharing the television. me and jetblue live bff'],21888,2
negative,1.0,Delta,jetblue you left 175 people on a hot plane with no ventilation for over an hour and a half and then had to bus them to jfk because of ....,7429,0
negative,0.6765,American,americanair and it gets better...other passengers rebooked direct on other airlines. whereisthelove whybeaaff?,13757,0
positive,0.6774,Delta,['jetblue last sleep in cali. .. backward to jfk tomorrow nox. count forward to an another amazing flight of stairs with you all'],24195,2
neutral,0.6489,Southwest,"[""southwestair iodine am in, allow ' s do this!""]",18616,1
neutral,0.6533,Delta,jetblue you guys get rid of the hip hop stations on sirius xm?,8113,1
positive,1.0,United,"[""united we just flew with joined from aus capital of texas bergstrom to cancun intl. best flight ever! the 737 ' s are non too bighearted. .. non too small!""]",25390,2
positive,1.0,United,united thanks for the timely service amp great staff getting my wife and me to and from cancun this past week for our honeymoon.,4162,2
positive,1.0,Southwest,"southwestair thanks for helping out! class act, all the way... see you in the air!",5098,2
negative,1.0,Southwest,southwestair 4-4 in horrible customer service. empty seats in early flight wantcharge me double to get home early instead the usual late flight,5665,0
positive,1.0,Delta,['jetblue i manage. .. flyfi worked intimately and be free aboard this trajectory'],26943,2
neutral,0.6598,American,['americanair crapper you provide steering on how 1 should work with them to dissolve the issue'],20440,1
negative,1.0,United,. united will breaking them in somehow make them longer so that they don't cut off the circulation in my legs? unfriendlyskies,3844,0
negative,1.0,US Airways,usairways your exchange credit policies are worthless and shadier than the white house. dissatisfied to the nines right now.,9323,0
positive,1.0,United,['united mechanical takings. looks like they got information technology fixed! thanks for your concern.'],20979,2
neutral,0.6392,Southwest,southwestair when are you going to be flying in and out of nashville? the deicer is in. are you short on planes and is it tomorrow morning?,6515,1
positive,0.6534,United,['united thank you'],20765,2
neutral,1.0,US Airways,"[""usairways sorry i didn ' t realize i wasn ' t trace you""]",19945,1
negative,1.0,United,united whom can i call to discuss - as i was told that united has no phone contact with passengers - this is absurd...,3411,0
positive,1.0,Southwest,['southwestair just got a call apologizing in person for the farseeing delay final workweek trying to rebook flights. class act. one value that!'],23600,2
positive,1.0,United,['united encounter my bag. i appreciate taking caution of the topic and watch up!'],25798,2
neutral,0.6863,United,['joined thanks! salutary to know.'],14949,1
positive,1.0,American,"['americanair maryella_green barely received it, in reality. give thanks you! !! !! !! !!']",22692,2
negative,1.0,US Airways,usairways i spent an hour on the phone with them and got no where at all,9396,0
negative,1.0,US Airways,usairways americanair i feel sorry for aa,11129,0
positive,0.6414,American,['americanair dai_president good luck at dfw this evening aa!'],25152,2
positive,1.0,Delta,"[""jetblue thank you! i know the weather in boston international relations and security network ' t great. everyone ' randomness tired""]",21947,2
positive,0.6525,United,united it's kinda funny. no worries.,3652,2
positive,0.6815,Delta,['jetblue thank you for the jetblue credit rating. prissy economize -'],24475,2
positive,1.0,United,united thanks,503,2
negative,1.0,Southwest,southwestair super disappointed today. first time we've had to stress and now book a flight on another airline while at the airport,6602,0
neutral,0.6776,Southwest,"[""southwestair didn ' t realize no apparel until at hotel - mesmerism?""]",18603,1
positive,1.0,Virgin America,['virginamerica thanks!'],25216,2
positive,1.0,Southwest,"[""southwestair thank you for e'er go above and beyond with your client service! !! !! ! favoriteairline luvforsw southwestair""]",23888,2
positive,0.6867,Southwest,"['southwestair imaginedragons beatsmusic well timed tweet, just boarded and will cost listen on my way home!']",26276,2
negative,1.0,United,united boston is all self service. swipe yr own boarding pass at gate. most difficult tag your own bag. not easy! improvetheprocess,1803,0
neutral,1.0,Southwest,['southwestair and usairways have cancelled flightled flights after 525 phase modulation today due to overwinter storm. traveller urged to contact bearer for info.'],18712,1
neutral,0.6697,Delta,['jetblue flight 2302 from kennedy to buf.'],19639,1
negative,1.0,American,americanair no i was not given the choice by the rep meelan uk aa contact center to escalate flight to a supervisor and had to book with change,13129,0
negative,1.0,American,americanair please dm me a way to get in touch with someone that can help. i'm platinum aa and considering quitting aa bc of this.,13618,0
neutral,0.3353,Southwest,['southwestair all flight of steps moderate to vegas babe!'],15940,1
negative,1.0,Delta,jetblue thanks. home to msy. tsa precheck agents directing people after photo until scan beyond rude. one grabbed and pushed children.,7503,0
positive,1.0,United,united dm sent. thanks so much for the strong customer service!!,3290,2
negative,1.0,US Airways,usairways thanks for the seat that doesn't recline. i'm shocked i'm not being asked to serve everyone drinks on the plane. dobetter,10500,0
positive,0.7066,American,"[""americanair no kidding! gonna consider some beating on the forestage. .. and on that point are some skillful lookin ' planes tabu in that location!""]",22701,2
neutral,1.0,US Airways,"[""usairways through, butt you sustain that i haven ' t been charged?""]",20206,1
negative,0.6793,Southwest,southwestair can you provide direct assistance? my colleague and i cannot re-book b c the ticket was booked via a corporate account. help,5282,0
negative,1.0,United,united 4595. we are now going back to the gate b c of something overheating after sitting out here for 3 hours.love united but this stinks,2248,0
neutral,1.0,United,['united pty to pit via iah'],15276,1
positive,1.0,Southwest,"[""southwestair flight 3056. merely an minute long but one of the in effect flights i ' ve e'er had. kudos to flight crew and airline business in general.""]",26118,2
positive,1.0,Virgin America,['virginamerica thanks for taking care of suuperg on her flight! ! rockstars jaunt'],20648,2
neutral,0.6664,Southwest,"[""southwestair imaginedragons i taste. it ' s okay""]",15455,1
positive,1.0,Delta,jetblue ok!!! that's super helpful. thank you. i'll reach out if i have any other questions.,7736,2
negative,1.0,American,americanair i need help! i'm trying to cancelled flight a flight before it takes off but i can't get a hold of anyone because all lines are busy.,13126,0
positive,0.6795,American,['americanair thanks. .. ..'],25071,2
positive,1.0,Virgin America,"[""virginamerica, you ' re doing a majuscule line adding little luxuries aesthetics that ameliorate the melodic phrase travel experience. thank you. keep it up!""]",20630,2
neutral,1.0,Delta,"['jetblue if my flight of steps says delayed with estimated departure listed, tooshie i arrive at airdrome late flightr?']",16760,1
positive,0.6635,Delta,['jetblue hawaii! get maine someplace warm amp i can observe some good to arrange. flyitforward'],24508,2
negative,1.0,United,united has the worst flight attendants. they are like those angry and drunk aunts that we all have. everything has to be an argument.,3090,0
positive,1.0,United,"[""joined rattling impressed so far. an app that ' s worth a darn and sms updates on my flight.""]",23251,2
neutral,1.0,American,americanair the dinner and called me hon . not the service i would expect from 1st class. disappointed,12677,1
negative,1.0,Southwest,southwestair waiting over a half hour for my checked baggage to be delivered! no updates from any ground crew,4984,0
positive,1.0,Southwest,southwestair thank you for handling this for me. glad southwest cares about what it's flyers think!,6167,2
negative,1.0,American,"americanair was put on hold for 5.5 hrs then got a call back at 11 20 pm, only to wait on hold for another hour.",12921,0
positive,0.6533,United,"united thanks, we did.",2326,2
neutral,1.0,Southwest,"southwestair traveling with a 13 year old thursday. he does not need an id, correct?",4926,1
negative,1.0,Delta,jetblue we haven't even gotten off the plane yet! i can't afford to miss my flight back to boston! ugh.,6997,0
neutral,0.6461,Southwest,"southwestair, kudos to your rep patricia at gate b11 this sunday morning at chicago midway mdw,",4788,1
negative,1.0,Southwest,"southwestair ah - did dm, no reply. on hold now over 2hrs. just spent over 1k to get a united flight tmrw to get home. lame",5181,0
negative,1.0,US Airways,usairways flight4592 let us off this plane!!! please go to a gate. this is absurd.,11252,0
positive,1.0,United,['united thanks for the heroic poem service on 863 - always a delight - salient crew'],25534,2
negative,1.0,United,united waiting for flight 4567 to memphis. incredibly rude gate agent waited until after departure time to announce delay. 1 of 2 rude,4215,0
positive,0.7072,Southwest,['southwestair kirkwoodtiger hmmm. .. how does the caribbean auditory sensation? ld warm thanks!'],21647,2
neutral,1.0,Southwest,"['southwestair iodine know it is unvoiced to predict, but how are flights from dallas to nashville tomorrow am?']",15993,1
neutral,1.0,Southwest,['southwestair can i get any help with off flighting my flight of stairs reserve?'],15562,1
neutral,1.0,Virgin America,"virginamerica dear virgin customer, while you're stranded in sf for 3 days amp 1000cost- we'll do the very least we can to accommodate you!",481,1
neutral,1.0,Virgin America,['virginamerica has flying number 276 from sfo to cabo san george lucas arrived yet?'],17661,1
negative,1.0,Southwest,southwestair answered. my options are a refund or a resched for monday i'd miss work . so i'm paying hundreds for a usairways flight tmw.,5373,0
positive,1.0,Southwest,"[""southwestair sweet! !! gladiolus to hear it. i ' ll preserve you hombre in thinker side by side clip!""]",23827,2
neutral,1.0,United,['joined dca - ewr flight 4372'],18337,1
neutral,1.0,American,['americanair new selling song? countenance usa have a go at it what you think?'],17366,1
negative,1.0,Southwest,southwestair what's up with the new in-flight wifi service? super crappy user experience. miss the old provider.,5715,0
positive,0.6525,United,"[""united it ' s kinda good story. no worry.""]",25760,2
positive,0.6566,Delta,"[""jetblue oh that totally look on par with americanair ' s admiral bludgeon any way you can slide america a duet strait?""]",22062,2
neutral,1.0,Southwest,southwestair northern california coast,4635,1
neutral,0.6633,United,['united pre - dawn flight of steps to miami from ewr. one year sobewff misstep. now.'],18229,1
positive,1.0,Southwest,southwestair sweet!!! glad to hear it. i'll keep you guys in mind next time!,5733,2
positive,1.0,American,"['americanair windy city assure from seat 6a, aa 1620. and so far a great ride! on to pdx!']",22714,2
positive,1.0,United,united counter agents at rdu deserve a medal. thankyou,1086,2
negative,0.6222,United,united i need to speak with a supervisor or someone who is willing to help me use a credit i have asap. letsworktogether,3877,0
neutral,0.6632,Delta,"[""jetblue our fleet ' second on fleek.""]",16183,1
neutral,0.3658,Delta,jetblue excited for my first flight w you today! it's delayed though- can you give me the 411? flight number 989 from boston to dc,8277,1
neutral,1.0,US Airways,['usairways what astir aa miles for usair flights book through american?'],16975,1
positive,1.0,United,united thanks. it is on the same ticket.,515,2
negative,1.0,American,americanair no date on when revieving our money sent a letter in post and several emails no reply?? very frustrated,13451,0
neutral,0.6701,United,['united shulemstern gg8929 grow a difference of opinion with your cubic centimeter provider and they will hopefully brighten information technology for you.'],18374,1
positive,1.0,United,united thanks for the quick reply! i just fill in the form idnumber8569822 hopetogetanswersoon,3498,2
negative,0.6777,United,"united all good, didn't die or anything. as they say you get what you pay for !",3106,0
negative,0.696,US Airways,"usairways if my flight's been cancelled flightled, and i can't reach anyone over the phone or ticketing agents, safe to assume i wasn't rebooked?",10515,0
negative,1.0,American,"americanair cancelled flighted flights, now i'm rerouted and have over 12 hrs of travel but you will bump paying customers for non revs. custserv",13271,0
neutral,1.0,Delta,['jetblue airways corporation national association of securities dealers automated quotations jblu update jetblue tell lufthansa. .. - markets bureau'],16559,1
neutral,1.0,Southwest,['southwestair to the rescue. sundown in windy city. next stop san antonio!'],18883,1
negative,1.0,Southwest,southwestair flight cancelled flightled out of bna.... do i have to reschedule now or can travel funds be put back into my account for future use?,6632,0
negative,1.0,American,americanair so we have a cancelled flightled flight in about twelve hours. maybe we'll have heard from an aa rep at that point.,13913,0
negative,0.7179,US Airways,usairways i ask for reimbursement maybe miles added to my account for my inconvenience and for the money that i had to spend,11379,0
positive,0.6641,United,"[""united love live tell you would egress a refund when you couldn ' t get u out of the way of a hurricane to make it denied""]",25651,2
positive,0.6509,Southwest,"southwestair oh no worries nl, no disappointments here. better to have no lounges than like delta who has them but does disappoint!",6332,2
positive,0.6487,American,['americanair sword lily to hear that there were no serious injury in the minor clangour dfwairport this evening.'],22676,2
neutral,0.6669,Delta,jetblue our fleet's on fleek. lmao you know a white person said this,7102,1
neutral,1.0,Delta,"[""jetblue ' s ceo fight to appease passenger and wall street - lake wylie cowcatcher""]",16507,1
negative,0.3883,Southwest,southwestair please pm me the number where i can lodge formal complaints. thx,6578,0
neutral,0.6874,Southwest,['southwestair newfangled selling birdsong? let us know what you retrieve?'],18558,1
neutral,1.0,Southwest,southwestair done.0,5823,1
neutral,1.0,Southwest,['southwestair to start day to day b737 - 700 flight of steps from capital of the united states reagan to ftlauderdale on 8aug avgeek'],18594,1
negative,1.0,United,united thanks for nothing! no atlanta lounge? your ap says no. sure nothing at terminal t,1792,0
neutral,1.0,American,"americanair you don't have those abilities anywhere! not at the ticket counter, at cust service, or online. that's why we're done here.",12369,1
negative,1.0,US Airways,"usairways us 728. nope, not getting off. 3 hours in the plane. 4 pilot announcements. one water run of the planet's smallest water bottles.",9392,0
negative,1.0,Southwest,southwestair been on hold to rebook a flight to cmh for 1.5 hrs. your rebook website is crashed.,5395,0
neutral,0.6532,Delta,"[""rt jetblue our fleet ' s on fleek.""]",16245,1
negative,1.0,United,united no my concerns were not addressed,2034,0
negative,1.0,United,"united tried to and got through the whole 2,000 characters and i was not even done.",3283,0
positive,0.6687,American,americanair didn't really need anything. saw your mentions are often negative. keep up the good work. gratitude,13747,2
neutral,1.0,United,['joined gives belfast a clinch with the new unmissable bushug format impact busads thinkbus belfastairport'],15128,1
positive,1.0,American,['americanair dfwairport you two unitedly exist the best part of flying!'],24918,2
neutral,1.0,Southwest,['southwestair how tail i get tickets for feb 20 imagine dragons show?'],19020,1
neutral,0.6419,Southwest,['southwestair if you register my tweet information technology is a spread in summons for folks that take multiple flights in one day.'],15858,1
negative,1.0,United,united yr team have me on hold for over an hour unhelpful pls can you answer my question.,2229,0
positive,1.0,Southwest,['southwestair buckeye state my gosh! going to dm you like a shot! thank you!'],23812,2
positive,1.0,American,americanair thank you for responding rather quickly btw,13200,2
negative,0.6639,United,united what is the problem with your flights to ny today,3263,0
negative,0.6517,United,united friend at o'hare and can't get on flight bc they say no proof he bought 1st class tkt. he has boarding pass.,2421,0
negative,1.0,United,united go to hell,1080,0
positive,1.0,Southwest,"['southwestair big thanks to your squad. family emerg, like 24 hour interval just the ticket, experience was excellent. 1st meter flying with yall, not my last!']",26337,2
positive,1.0,Southwest,"[""southwestair hello southwestair i ' chiliad happy to follow fly with you this sunrise dal - mdw 4053 looking forward to a comfortable fight""]",23744,2
neutral,1.0,United,united tried that. cannot figure out where to go to get it.,1828,1
positive,1.0,United,['joined perfectomobile atomic number 53 have to admit that not only the app is good only deliver lots of useful func such the live seat map. congrats'],25711,2
positive,0.6799,Southwest,['southwestair cool injection of the moon and one of your fleet'],23550,2
positive,0.6735,United,['united look at this stunner dc - 10 united airlines hope you similar this beauty'],25494,2
positive,0.6778,Delta,jetblue oh. and thank you for responding,7422,2
negative,1.0,United,united i will never fly with you again. i went on vacation this week and you lost my bags both ways. now i have no clothes. thankyou,2121,0
positive,0.6571,Delta,['jetblue finleybklyncfs thus glad to see. thanks for deal the video. me and jetblue are bff'],24215,2
positive,0.6316,Delta,"[""jetblue thanks. unity ' m finding low fares already on former mailman with direct flights. july 8 - 13.""]",21789,2
negative,1.0,American,"americanair just went to check into flight 24 hr advance, again husband and i are seated separately for 6hr flight! why does this happen??",12393,0
negative,1.0,American,americanair please allow me to speak with someone. a dialogue would solve this issue better and faster than emailing.,12455,0
negative,1.0,Virgin America,virginamerica your site is tripping. i'm trying to check in and i'm getting the plain text version. i am reluctant to enter any card info.,107,0
neutral,1.0,Delta,jetblue kylecomer_ jetblue relate flightd this time? no... but why won't school be cancelled flighted? it's very cold out,8445,1
negative,1.0,US Airways,"usairways i was... 4 tomorrow. i missed my meeting today, amp it was pointless 2 pay hotel today when the purpose of my trip has been screwed",10789,0
neutral,1.0,US Airways,"['usairways reminder from deuce 28, we ll be tweeting from americanair. one look 4ward to that come after back overly!']",20163,1
neutral,0.6832,Southwest,southwestair i think me and my group could use some nice cold drinks once we get in the air...we are all over 21,6051,1
positive,0.669,American,['americanair thank you'],22673,2
negative,1.0,US Airways,usairways how the heck does one get the internet desk to authorize a waiver? would that involved being on hold for another hour?,10634,0
positive,0.69,Southwest,"southwestair haha, thanks for the explanation",6538,2
negative,0.6515,Southwest,"southwestair ...you in the 10 hrs we were hanging out there? oh, no i understand things get crazy n sometimes 10 hours isn't long enough.",5059,0
neutral,0.7007,Virgin America,['virginamerica ladygaga carrieunderwood - carrie!'],17635,1
neutral,0.6781,United,"['united koa - lax should have fresh food for thought armed service, right?']",15233,1
positive,1.0,US Airways,"[""usairways bragging thanks to yvonne marcus antonius from the chairwoman ' atomic number 16 desk. top tier customer service today. outstanding service amp support.""]",24768,2
negative,1.0,US Airways,"usairways wow! your miles program is ripoff,quick ticket fee 75 i hope you all end up on unemployment.",10995,0
positive,0.7158,Southwest,"[""southwestair thanks so much just have to have a cancelled flightlation! iodine ' ve post u the information.""]",23732,2
neutral,0.6739,Delta,jetblue brazil to volunteer teaching english amp spanish to poor children so they have a skills to improve their chances of a better life.,8393,1
negative,1.0,Southwest,"southwestair no need, i know the status, you cancelled flightled instead of delaying the flight.",4479,0
positive,0.6793,United,"united - thanks for your help...got me what i need, but its an issue with _austrian . i guess i sit awhile longer.",551,2
negative,0.373,Delta,jetblue why do you have every channel but abcnetwork how are kgonzales89 and i supposed to watch scandal? but free flyfi is sweet!,8175,0
neutral,1.0,US Airways,['usairways followed!'],17016,1
negative,1.0,Delta,jetblue as a customer it feels like i should stick to airlines other than jet blue. i travel for my work for past 5 years never seen 70,7778,0
positive,1.0,US Airways,usairways - check-in staff at phx are awesome! great traffic control for general boarding.,10785,2
positive,1.0,US Airways,['usairways have sex client service! ! thank you for starting our 2 workweek vacay on an astonishing note! thank you sarita! !!'],24639,2
positive,0.6596,Delta,"[""jetblue awesome, thanks! i ' ll afford a call tardy flightr today. appreciate the help!""]",22135,2
negative,1.0,US Airways,"usairways my wife, sick 3yr-old-twins, and i have been waiting in line now for 2hrs to see an agent! phone agent said nothing til tuesday!",10326,0
positive,0.6354,US Airways,"[""usairways look come out for vaporize rock candy this time! information technology ' s a razz it ' s a plane! nah ne'er mind information technology ' s only a stone. ..""]",26984,2
neutral,1.0,United,"['can i set sun in my carry on? rt combine ant_kneee right now 0 would be a heat wave, so relish the fondness! tail you bring some home? jj']",15103,1
negative,0.6484,United,united and that plane was staying overnight at the next airport - roc. u can make up 10 min in air but instead of waiting u leave early,4027,0
positive,0.6889,US Airways,['usairways i make it! thanks for the help!'],26986,2
neutral,0.6511,United,"['united dress you have seen my message today? ? astir a mcdonnell stephen a. douglas d.c. 10 model? ? iodine testament hear information technology if you read it, goodnight now']",14786,1
